Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SRS,SOS,TG/G,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,S,S%,SA,SV%,PDO
1,Washington Capitals*,27.9,82,56,18,8,120,.732,252,193,0.70,-0.02,5.43,55,251,21.91,38,256,85.16,2,5,2510,9.9,2325,.921,101.5
2,Dallas Stars*,28.9,82,50,23,9,109,.665,267,230,0.45,-0.01,6.06,58,262,22.14,44,248,82.26,10,15,2624,10.1,2367,.906,100.5
3,St. Louis Blues*,28.0,82,49,24,9,107,.652,224,201,0.28,0.00,5.18,51,237,21.52,41,276,85.14,4,5,2474,8.9,2427,.924,100.7
4,Pittsburgh Penguins*,29.0,82,48,26,8,104,.634,245,203,0.50,-0.01,5.46,48,261,18.39,40,257,84.44,11,5,2722,8.9,2428,.921,100.7
5,Chicago Blackhawks*,28.6,82,47,26,9,103,.628,235,209,0.32,0.00,5.41,57,252,22.62,46,233,80.26,10,3,2498,9.4,2519,.921,101.0
6,Anaheim Ducks*,27.4,82,46,25,11,103,.628,218,192,0.27,-0.05,5.00,56,245,22.86,37,290,87.24,7,3,2483,8.7,2253,.919,100.3
7,Florida Panthers*,29.2,82,47,26,9,103,.628,239,203,0.42,-0.02,5.39,47,278,16.91,55,268,79.48,5,5,2358,9.8,2409,.921,101.4
8,Los Angeles Kings*,28.3,82,48,28,6,102,.622,225,195,0.32,-0.04,5.12,47,235,20.00,53,285,81.40,5,3,2625,8.5,2246,.918,100.0
9,New York Rangers*,29.6,82,46,27,9,101,.616,236,217,0.24,0.01,5.52,42,226,18.58,53,243,78.19,3,5,2336,10.0,2480,.919,101.3
10,New York Islanders*,27.9,82,45,27,10,100,.610,232,216,0.19,0.00,5.46,43,229,18.78,36,232,84.48,7,6,2412,9.4,2484,.920,100.9
11,San Jose Sharks*,29.1,82,46,30,6,98,.598,241,210,0.33,-0.05,5.50,62,275,22.55,46,236,80.51,6,7,2491,9.5,2227,.915,100.4
12,Tampa Bay Lightning*,27.3,82,46,31,5,97,.591,227,201,0.30,-0.02,5.22,44,279,15.77,41,257,84.05,7,7,2402,9.3,2350,.923,100.8
13,Philadelphia Flyers*,28.1,82,41,27,14,96,.585,214,218,-0.03,0.02,5.27,53,280,18.93,51,262,80.53,3,8,2540,8.3,2510,.920,100.1
14,Nashville Predators*,28.4,82,41,27,14,96,.585,228,215,0.17,0.01,5.40,51,259,19.69,46,245,81.22,7,2,2507,8.9,2231,.909,99.7
15,Detroit Red Wings*,28.7,82,41,30,11,93,.567,211,224,-0.16,0.00,5.30,50,266,18.80,50,271,81.55,2,4,2432,8.6,2427,.915,99.8
16,Boston Bruins,28.8,82,42,31,9,93,.567,240,230,0.11,-0.02,5.73,48,234,20.51,48,270,82.22,9,4,2620,9.0,2476,.914,100.0
17,Minnesota Wild*,28.0,82,38,33,11,87,.530,216,206,0.13,0.01,5.15,48,259,18.53,45,204,77.94,7,6,2374,9.0,2336,.917,100.4
18,Carolina Hurricanes,27.0,82,35,31,16,86,.524,198,226,-0.31,0.03,5.17,40,238,16.81,32,204,84.31,3,5,2451,8.0,2253,.906,98.6
19,Ottawa Senators,27.0,82,38,35,9,85,.518,236,247,-0.13,0.01,5.89,38,239,15.90,61,253,75.89,17,3,2325,9.9,2672,.916,100.8
20,New Jersey Devils,27.9,82,38,36,8,84,.512,184,208,-0.28,0.02,4.78,51,256,19.92,45,264,82.95,5,8,2003,9.1,2336,.919,100.4
21,Colorado Avalanche,28.3,82,39,39,4,82,.500,216,240,-0.26,0.03,5.56,48,266,18.05,51,258,80.23,7,9,2348,9.0,2630,.916,100.1
22,Montreal Canadiens,28.0,82,38,38,6,82,.500,221,236,-0.18,0.00,5.57,42,259,16.22,46,254,81.89,8,11,2504,8.6,2396,.908,99.2
23,Buffalo Sabres,26.2,82,35,36,11,81,.494,201,222,-0.25,0.01,5.16,48,254,18.90,38,218,82.57,6,6,2418,8.2,2499,.919,99.8
24,Winnipeg Jets,26.8,82,35,39,8,78,.476,215,239,-0.26,0.03,5.54,38,257,14.79,61,282,78.37,10,4,2427,8.7,2406,.909,99.2
25,Arizona Coyotes,27.6,82,35,39,8,78,.476,209,245,-0.43,0.01,5.54,53,300,17.67,69,304,77.30,4,14,2265,9.2,2526,.909,99.9
26,Calgary Flames,27.7,82,35,40,7,77,.470,231,260,-0.36,-0.01,5.99,46,270,17.04,57,234,75.64,10,7,2398,9.5,2361,.898,99.1
27,Columbus Blue Jackets,26.5,82,34,40,8,76,.463,219,252,-0.38,0.03,5.74,43,248,17.34,53,279,81.00,3,8,2387,8.9,2532,.909,99.4
28,Vancouver Canucks,28.9,82,31,38,13,75,.457,191,243,-0.62,0.02,5.29,39,247,15.79,47,249,81.12,4,8,2311,8.0,2653,.916,99.3
29,Edmonton Oilers,26.4,82,31,43,8,70,.427,203,245,-0.51,0.00,5.46,43,237,18.14,49,254,80.71,5,6,2386,8.3,2535,.910,99.1
30,Toronto Maple Leafs,27.4,82,29,42,11,69,.421,198,246,-0.56,0.03,5.41,40,259,15.44,50,272,81.62,3,8,2515,7.6,2490,.909,98.5
,League Average,28.0,82,41,32,9,91,.556,222,222,0.00,0.00,5.42,48,255,18.66,48,255,81.34,6,6,2438,9.1,2426,.915,
