,Rk,W,L,OL,PTS,UniqueID,Playoffs,Team,Blocks,Year,RRk
71,12.0,43,30,9,95,COL_2009,True,COL,1249.0,2009,19.0
72,13.0,44,32,6,94,OTT_2009,True,OTT,1317.0,2009,18.0
73,14.0,39,30,13,91,BOS_2009,True,BOS,1045.0,2009,17.0
74,15.0,40,32,10,90,STL_2009,True,STL,1071.0,2009,16.0
75,16.0,40,32,10,90,CGY_2009,True,CGY,1209.0,2009,15.0
76,17.0,39,32,11,89,ANH_2009,False,ANH,989.0,2009,14.0
77,18.0,37,31,14,88,DAL_2009,False,DAL,1153.0,2009,13.0
78,19.0,41,35,6,88,PHI_2009,False,PHI,1301.0,2009,12.0
79,20.0,39,33,10,88,MON_2009,False,MON,1341.0,2009,11.0
80,21.0,38,33,11,87,NYR_2009,False,NYR,1174.0,2009,10.0
81,22.0,38,36,8,84,MIN_2009,False,MIN,1062.0,2009,9.0
82,23.0,35,34,13,83,ATL_2009,False,ATL,1126.0,2009,8.0
83,24.0,35,37,10,80,CAR_2009,False,CAR,920.0,2009,7.0
84,25.0,34,36,12,80,TB_2009,False,TB,1089.0,2009,6.0
85,26.0,34,37,11,79,NYI_2009,False,NYI,1172.0,2009,5.0
86,27.0,32,35,15,79,CLS_2009,False,CLS,1041.0,2009,4.0
87,28.0,32,37,13,77,FLA_2009,False,FLA,1109.0,2009,3.0
88,29.0,30,38,14,74,TOR_2009,False,TOR,1060.0,2009,2.0
89,30.0,27,47,8,62,EDM_2009,False,EDM,1198.0,2009,1.0
90,1.0,51,22,9,111,VAN_2011,True,VAN,1059.0,2011,30.0
91,2.0,51,24,7,109,NYR_2011,True,NYR,1353.0,2011,29.0
92,3.0,49,22,11,109,STL_2011,True,STL,1115.0,2011,28.0
93,4.0,51,25,6,108,PIT_2011,True,PIT,1073.0,2011,27.0
94,5.0,48,26,8,104,NSH_2011,True,NSH,1338.0,2011,26.0
95,6.0,47,26,9,103,PHI_2011,True,PHI,1400.0,2011,25.0
96,7.0,48,28,6,102,DET_2011,True,DET,916.0,2011,24.0
97,8.0,49,29,4,102,BOS_2011,True,BOS,1202.0,2011,23.0
98,9.0,48,28,6,102,NJ_2011,True,NJ,961.0,2011,22.0
99,10.0,45,26,11,101,CHI_2011,True,CHI,1132.0,2011,21.0
100,11.0,42,27,13,97,PHO_2011,True,PHO,1116.0,2011,20.0
101,12.0,43,29,10,96,SJ_2011,True,SJ,1479.0,2011,19.0
102,13.0,40,27,15,95,LA_2011,True,LA,898.0,2011,18.0
103,14.0,38,26,18,94,FLA_2011,True,FLA,1072.0,2011,17.0
104,15.0,42,32,8,92,WAS_2011,True,WAS,1310.0,2011,16.0
105,16.0,41,31,10,92,OTT_2011,True,OTT,1072.0,2011,15.0
106,17.0,37,29,16,90,CGY_2011,False,CGY,1149.0,2011,14.0
107,18.0,42,35,5,89,DAL_2011,False,DAL,1160.0,2011,13.0
108,19.0,39,32,11,89,BUF_2011,False,BUF,1042.0,2011,12.0
109,20.0,41,35,6,88,COL_2011,False,COL,1042.0,2011,11.0
110,21.0,37,35,10,84,WPG_2011,False,WPG,1144.0,2011,10.0
111,22.0,38,36,8,84,TB_2011,False,TB,1174.0,2011,9.0
112,23.0,33,33,16,82,CAR_2011,False,CAR,1217.0,2011,8.0
113,24.0,35,36,11,81,MIN_2011,False,MIN,1152.0,2011,7.0
114,25.0,34,36,12,80,ANH_2011,False,ANH,1158.0,2011,6.0
115,26.0,35,37,10,80,TOR_2011,False,TOR,1194.0,2011,5.0
116,27.0,34,37,11,79,NYI_2011,False,NYI,1298.0,2011,4.0
117,28.0,31,35,16,78,MON_2011,False,MON,1242.0,2011,3.0
118,29.0,32,40,10,74,EDM_2011,False,EDM,1281.0,2011,2.0
119,30.0,29,46,7,65,CLS_2011,False,CLS,1049.0,2011,1.0
120,1.0,54,19,9,117,VAN_2010,True,VAN,1117.0,2010,30.0
121,2.0,48,23,11,107,WAS_2010,True,WAS,1355.0,2010,29.0
122,3.0,47,23,12,106,PHI_2010,True,PHI,1435.0,2010,28.0
123,4.0,49,25,8,106,PIT_2010,True,PIT,1086.0,2010,27.0
124,5.0,48,25,9,105,SJ_2010,True,SJ,1228.0,2010,26.0
125,6.0,47,25,10,104,DET_2010,True,DET,917.0,2010,25.0
126,7.0,46,25,11,103,BOS_2010,True,BOS,1241.0,2010,24.0
127,8.0,46,25,11,103,TB_2010,True,TB,1334.0,2010,23.0
128,9.0,47,30,5,99,ANH_2010,True,ANH,1331.0,2010,22.0
129,10.0,43,26,13,99,PHO_2010,True,PHO,1110.0,2010,21.0
130,11.0,44,27,11,99,NSH_2010,True,NSH,1025.0,2010,20.0
131,12.0,46,30,6,98,LA_2010,True,LA,1056.0,2010,19.0
132,13.0,44,29,9,97,CHI_2010,True,CHI,1154.0,2010,18.0
133,14.0,43,29,10,96,BUF_2010,True,BUF,1170.0,2010,17.0
134,15.0,44,30,8,96,MON_2010,True,MON,1476.0,2010,16.0
135,16.0,42,29,11,95,DAL_2010,True,DAL,1217.0,2010,15.0
136,17.0,41,29,12,94,CGY_2010,False,CGY,1261.0,2010,14.0
137,18.0,44,33,5,93,NYR_2010,False,NYR,1314.0,2010,13.0
138,19.0,40,31,11,91,CAR_2010,False,CAR,1160.0,2010,12.0
139,20.0,38,33,11,87,STL_2010,False,STL,924.0,2010,11.0
140,21.0,39,35,8,86,MIN_2010,False,MIN,1130.0,2010,10.0
141,22.0,37,34,11,85,TOR_2010,False,TOR,1065.0,2010,9.0
142,23.0,34,35,13,81,CLS_2010,False,CLS,1122.0,2010,8.0
143,24.0,38,39,5,81,NJ_2010,False,NJ,897.0,2010,7.0
144,25.0,34,36,12,80,ATL_2010,False,ATL,1215.0,2010,6.0
145,26.0,32,40,10,74,OTT_2010,False,OTT,926.0,2010,5.0
146,27.0,30,39,13,73,NYI_2010,False,NYI,1336.0,2010,4.0
147,28.0,30,40,12,72,FLA_2010,False,FLA,885.0,2010,3.0
148,29.0,30,44,8,68,COL_2010,False,COL,1226.0,2010,2.0
149,30.0,25,45,12,62,EDM_2010,False,EDM,1191.0,2010,1.0
150,1.0,54,19,9,117,BOS_2013,True,BOS,1117.0,2013,30.0
151,2.0,54,20,8,116,ANH_2013,True,ANH,1273.0,2013,29.0
152,3.0,52,22,8,112,COL_2013,True,COL,1204.0,2013,28.0
153,4.0,51,22,9,111,SJ_2013,True,SJ,1197.0,2013,27.0
154,5.0,52,23,7,111,STL_2013,True,STL,1142.0,2013,26.0
155,6.0,51,24,7,109,PIT_2013,True,PIT,1256.0,2013,25.0
156,7.0,46,21,15,107,CHI_2013,True,CHI,1040.0,2013,24.0
157,8.0,46,27,9,101,TB_2013,True,TB,1144.0,2013,23.0
158,9.0,46,28,8,100,LA_2013,True,LA,925.0,2013,22.0
159,10.0,46,28,8,100,MON_2013,True,MON,1505.0,2013,21.0
160,11.0,43,27,12,98,MIN_2013,True,MIN,1144.0,2013,20.0
161,12.0,45,31,6,96,NYR_2013,True,NYR,1240.0,2013,19.0
162,13.0,42,30,10,94,PHI_2013,True,PHI,1347.0,2013,18.0
163,14.0,39,28,15,93,DET_2013,True,DET,1039.0,2013,17.0
164,15.0,43,32,7,93,CLS_2013,True,CLS,1222.0,2013,16.0
165,16.0,40,31,11,91,DAL_2013,True,DAL,1173.0,2013,15.0
166,17.0,38,30,14,90,WAS_2013,False,WAS,1190.0,2013,14.0
167,18.0,37,30,15,89,PHO_2013,False,PHO,1113.0,2013,13.0
168,19.0,35,29,18,88,NJ_2013,False,NJ,884.0,2013,12.0
169,20.0,38,32,12,88,NSH_2013,False,NSH,1130.0,2013,11.0
170,21.0,37,31,14,88,OTT_2013,False,OTT,963.0,2013,10.0
171,22.0,38,36,8,84,TOR_2013,False,TOR,1237.0,2013,9.0
172,23.0,37,35,10,84,WPG_2013,False,WPG,1256.0,2013,8.0
173,24.0,36,35,11,83,VAN_2013,False,VAN,1214.0,2013,7.0
174,25.0,36,35,11,83,CAR_2013,False,CAR,1065.0,2013,6.0
175,26.0,34,37,11,79,NYI_2013,False,NYI,1099.0,2013,5.0
176,27.0,35,40,7,77,CGY_2013,False,CGY,1444.0,2013,4.0
177,28.0,29,44,9,67,EDM_2013,False,EDM,1135.0,2013,3.0
178,29.0,29,45,8,66,FLA_2013,False,FLA,836.0,2013,2.0
179,30.0,21,51,10,52,BUF_2013,False,BUF,1226.0,2013,1.0
