Rank,Player,Team,Blocks,PerGame
1,Andrew MacDonald,PHI,242,2.95
2,Chris Butler,CGY,211,2.57
3,Kris Russell,CGY,201,2.96
4,Andrei Markov,MON,180,2.22
5,Josh Gorges,MON,177,2.68
6,John Carlson,WAS,177,2.16
7,Carl Gunnarsson,TOR,176,2.2
8,Dan Girardi,NYR,174,2.15
9,Nicklas Grossmann,PHI,174,2.23
10,Shea Weber,NSH,173,2.19
11,Francois Beauchemin,ANH,171,2.44
12,Ladislav Smid,CGY,168,2.3
13,Zbynek Michalek,PHO,165,2.8
14,Alex Pietrangelo,STL,164,2.02
15,Mike Weber,BUF,161,2.37
16,Matthew Carle,TB,161,1.96
17,Mark Stuart,WPG,160,2.32
18,Karl Alzner,WAS,158,1.93
19,Niklas Hjalmarsson,CHI,157,1.94
20,Dion Phaneuf,TOR,156,1.95
21,Alex Goligoski,DAL,154,1.9
22,Niklas Kronwall,DET,154,1.95
23,Johnny Boychuk,BOS,151,2.01
24,Marc-Edouard Vlasic,SJ,150,1.85
25,Ben Lovejoy,ANH,150,1.92
26,Roman Josi,NSH,150,2.08
27,Brenden Dillon,DAL,149,1.86
28,Justin Braun,SJ,146,1.78
29,Jan Hejda,COL,144,1.85
30,Brooks Orpik,PIT,143,1.99
31,Tobias Enstrom,WPG,142,1.73
32,Brent Seabrook,CHI,142,1.73
33,Radko Gudas,TB,138,1.89
34,Kevin Klein,NYR,137,1.78
35,Christopher Tanev,VAN,136,2.13
36,Alexander Edler,VAN,136,2.16
37,Ryan Suter,MIN,132,1.61
38,Nick Schultz,CLS,132,1.91
39,Thomas Hickey,NYI,132,1.61
40,Jacob Trouba,WPG,132,2.03
41,Travis Hamonic,NYI,132,1.91
42,Jeff Petry,EDM,132,1.65
43,Ryan McDonagh,NYR,131,1.7
44,Roman Polak,STL,131,1.82
45,Kevin Bieksa,VAN,130,1.71
46,Barret Jackman,STL,130,1.65
47,Erik Johnson,COL,130,1.63
48,T.J. Brodie,CGY,130,1.6
49,Dan Hamhuis,VAN,130,1.65
50,Andy Greene,NJ,129,1.57
51,Jack Johnson,CLS,128,1.56
52,Mike Weaver,MON,128,1.78
53,Jason Garrison,VAN,128,1.58
54,Willie Mitchell,LA,128,1.68
55,Nate Guenin,COL,128,1.88
56,Andrej Sekera,CAR,127,1.72
57,Raphael Diaz,NYR,127,2.02
58,Alexei Emelin,MON,127,2.15
59,P.K. Subban,MON,125,1.52
60,Ron Hainsey,CAR,124,1.51
61,Jordie Benn,DAL,122,1.56
62,Cam Fowler,ANH,122,1.74
63,Andre Benoit,COL,119,1.51
64,Christian Ehrhoff,BUF,119,1.51
65,Bryan Allen,ANH,118,1.74
66,Jonas Brodin,MIN,117,1.48
67,Danny DeKeyser,DET,116,1.78
68,Douglas Murray,MON,115,2.17
69,Braydon Coburn,PHI,115,1.4
70,Brad Stuart,SJ,114,1.87
71,Michael Stone,PHO,114,1.63
72,Johnny Oduya,CHI,114,1.48
73,Luke Schenn,PHI,113,1.43
74,Jamie McBain,BUF,113,1.64
75,Olli Maatta,PIT,112,1.44
76,Kimmo Timonen,PHI,112,1.45
77,Cody Franson,TOR,111,1.41
78,Marc Methot,OTT,110,1.47
79,Kyle Quincey,DET,109,1.33
80,Brian Campbell,FLA,108,1.32
81,Andrew Ference,EDM,108,1.52
82,Mark Streit,PHI,108,1.32
83,Mike Green,WAS,107,1.53
84,Jason Demers,SJ,107,1.43
85,Jared Spurgeon,MIN,107,1.6
86,Justin Schultz,EDM,107,1.45
87,Jay Bouwmeester,STL,106,1.29
88,Keith Yandle,PHO,105,1.28
89,Derek Morris,PHO,104,1.65
90,Calvin de Haan,NYI,104,2.04
91,Zdeno Chara,BOS,104,1.35
92,Mark Giordano,CGY,103,1.61
93,Marco Scandella,MIN,102,1.34
94,Justin Faulk,CAR,102,1.34
95,Erik Karlsson,OTT,101,1.23
96,Kevin Shattenkirk,STL,101,1.25
97,Victor Hedman,TB,101,1.35
98,Jared Cowen,OTT,99,1.46
99,Seth Jones,NSH,99,1.29
100,Eric Brewer,TB,99,1.29
101,Trevor Daley,DAL,98,1.46
102,Brett Bellemore,CAR,98,1.53
103,Ryan Murray,CLS,97,1.47
104,Ryan Ellis,NSH,97,1.21
105,Robyn Regehr,LA,96,1.22
106,Mark Fraser,EDM,95,2.26
107,Chris Phillips,OTT,95,1.36
108,Tom Gilbert,FLA,95,1.3
109,Matt Irwin,SJ,93,1.5
110,Brian Lashoff,DET,93,1.24
111,Morgan Rielly,TOR,92,1.26
112,Dmitry Kulikov,FLA,92,1.14
113,Dan Boyle,NYI,92,1.23
114,Erik Gudbranson,FLA,91,1.4
115,Drew Doughty,LA,91,1.17
116,Anton Volchenkov,NJ,91,1.63
117,Rob Scuderi,PIT,90,1.7
118,Fedor Tyutin,CLS,89,1.29
119,Boyd Gordon,EDM,89,1.2
120,Duncan Keith,CHI,89,1.13
121,Tim Gleason,TOR,88,1.57
122,Ryan Getzlaf,ANH,87,1.13
123,Jake Gardiner,TOR,87,1.09
124,Lance Bouma,CGY,87,1.12
125,Brian Strait,NYI,86,1.83
126,Kevan Miller,BOS,85,1.81
127,Marc Staal,NYR,84,1.17
128,Nate Prosser,MIN,83,1.57
129,Mark Fayne,NJ,83,1.15
130,Jake Muzzin,LA,82,1.08
131,Jay Harrison,CAR,82,1.21
132,Sergei Gonchar,DAL,81,1.07
133,Tyler Myers,BUF,81,1.31
134,Ryan Stanton,VAN,81,1.27
135,Marek Zidlicky,NJ,81,1
136,David Savard,CLS,81,1.16
137,John-Michael Liles,CAR,80,1.95
138,Dustin Byfuglien,WPG,80,1.03
139,Oliver Ekman-Larsson,PHO,80,1
140,David Schlemko,PHO,79,1.65
141,Victor Bartley,NSH,79,1.58
142,Torey Krug,BOS,77,0.97
143,Henrik Tallinder,BUF,76,1.19
144,Matt Niskanen,PIT,76,0.94
145,Zach Bogosian,WPG,75,1.36
146,Anton Belov,EDM,75,1.32
147,Dennis Wideman,CGY,75,1.63
148,Michael Del Zotto,NSH,75,1.12
149,Alec Martinez,LA,75,1.23
150,Paul Martin,PIT,74,1.9
151,Robert Bortuzzo,PIT,73,1.35
152,Mike Fisher,NSH,73,0.97
153,Scott Hannan,SJ,73,1.3
