Rank,Player,Team,Blocks,PerGame
1,Josh Gorges,MON,250,3.05
2,Brett Clark,TB,199,2.43
3,Francois Beauchemin,ANH,194,2.37
4,Bryan Allen,CAR,188,2.29
5,Dan Girardi,NYR,185,2.26
6,Andrew MacDonald,NYI,185,2.47
7,Ladislav Smid,EDM,184,2.36
8,Mark Stuart,WPG,182,2.28
9,Ryan McDonagh,NYR,182,2.22
10,Niklas Kronwall,DET,177,2.16
11,Eric Brewer,TB,176,2.15
12,Marc-Edouard Vlasic,SJ,171,2.09
13,Brent Seabrook,CHI,165,2.12
14,Nick Schultz,EDM,165,2.01
15,Matt Carle,PHI,164,2
16,Hal Gill,NSH,161,2.12
17,Travis Hamonic,NYI,157,2.15
18,Barret Jackman,STL,153,1.89
19,Jay Harrison,CAR,153,2.13
20,John Carlson,WAS,153,1.87
21,Toni Lydman,ANH,153,2.07
22,Carl Gunnarsson,TOR,152,2
23,Nicklas Grossmann,PHI,152,2.05
24,Kevin Klein,NSH,151,2.29
25,Dennis Seidenberg,BOS,151,1.89
26,Rostislav Klesla,PHO,150,2.31
27,Roman Hamrlik,WAS,149,2.19
28,Filip Kuba,OTT,149,2.04
29,Alexander Edler,VAN,145,1.77
30,Zbynek Michalek,PIT,144,2.32
31,Douglas Murray,SJ,143,2.38
32,Niklas Hjalmarsson,CHI,142,2.06
33,Ryan O'Byrne,COL,141,1.91
34,Roman Polak,STL,141,1.83
35,Steve Staios,NYI,140,2.15
36,Johnny Oduya,CHI,140,1.73
37,Shea Weber,NSH,140,1.79
38,Karl Alzner,WAS,139,1.7
39,Willie Mitchell,LA,139,1.83
40,Brooks Orpik,PIT,139,1.9
41,Chris Phillips,OTT,137,1.71
42,Dan Boyle,SJ,137,1.69
43,Mike Weaver,FLA,137,1.67
44,Greg Zanon,BOS,136,2.43
45,Jan Hejda,COL,134,1.65
46,Ron Hainsey,WPG,133,2.38
47,Alex Pietrangelo,STL,133,1.64
48,Johnny Boychuk,BOS,133,1.73
49,Dennis Wideman,WAS,132,1.61
50,Kimmo Timonen,PHI,129,1.7
51,Jack Johnson,CLS,129,1.57
52,Jordan Leopold,BUF,128,1.62
53,Dion Phaneuf,TOR,127,1.55
54,Mark Giordano,CGY,127,2.08
55,Victor Hedman,TB,127,2.08
56,Scott Hannan,CGY,126,1.62
57,Jeff Petry,EDM,126,1.73
58,Anton Volchenkov,NJ,125,1.74
59,Nate Prosser,MIN,124,2.43
60,Jason Garrison,FLA,124,1.61
61,Duncan Keith,CHI,121,1.64
62,Braydon Coburn,PHI,119,1.47
63,Pavel Kubina,PHI,119,1.72
64,Jay Bouwmeester,CGY,118,1.44
65,Brian Campbell,FLA,118,1.44
66,Paul Martin,PIT,117,1.6
67,Brent Burns,SJ,117,1.44
68,Ryan Suter,NSH,116,1.47
69,Milan Jurcina,NYI,116,1.78
70,Rob Scuderi,LA,116,1.41
71,Trevor Daley,DAL,115,1.46
72,Brad Stuart,SJ,115,1.42
73,Tom Gilbert,MIN,115,1.72
74,Sergei Gonchar,OTT,115,1.55
75,Chris Butler,CGY,115,1.69
76,Luke Schenn,TOR,115,1.46
77,Mark Streit,NYI,115,1.4
78,Mark Eaton,NYI,114,1.84
79,Nikita Nikitin,CLS,114,1.87
80,P.K. Subban,MON,113,1.4
81,Robyn Regehr,BUF,112,1.47
82,Matt Greene,LA,112,1.37
83,Tim Gleason,CAR,112,1.37
84,John-Michael Liles,TOR,111,1.68
85,Stephane Robidas,DAL,110,1.47
86,Sheldon Brookbank,ANH,110,1.38
87,Zach Bogosian,WPG,109,1.68
88,Bryce Salvador,NJ,107,1.3
89,Jamie McBain,CAR,106,1.39
90,Kevin Bieksa,VAN,106,1.36
91,Marco Scandella,MIN,106,1.68
92,Mark Fistric,DAL,105,1.75
93,Kevin Shattenkirk,STL,103,1.27
94,Raphael Diaz,MON,102,1.73
95,Adam McQuaid,BOS,101,1.4
96,Dan Hamhuis,VAN,99,1.21
97,Luca Sbisa,ANH,99,1.24
98,Roman Josi,NSH,98,1.88
99,Andy Greene,NJ,96,1.71
100,Andy Sutton,EDM,95,1.83
101,Jared Spurgeon,MIN,95,1.36
102,Michael Del Zotto,NYR,95,1.23
103,Kyle Quincey,DET,94,1.31
104,Erik Johnson,COL,94,1.29
105,Colin White,SJ,94,1.74
106,Cam Fowler,ANH,94,1.15
107,Alex Goligoski,DAL,93,1.31
108,Andrej Sekera,BUF,93,1.35
109,Brooks Laich,WAS,92,1.12
110,Ian White,DET,92,1.19
111,Oliver Ekman-Larsson,PHO,92,1.12
112,Michal Rozsival,PHO,91,1.69
113,Darroll Powe,MIN,91,1.11
114,Fedor Tyutin,CLS,91,1.38
115,Sheldon Souray,DAL,90,1.41
116,Jake Gardiner,TOR,90,1.2
117,Mike Weber,BUF,90,1.76
118,Alexei Emelin,MON,88,1.31
119,Andrej Meszaros,PHI,88,1.42
120,Ryan Callahan,NYR,88,1.16
121,David Schlemko,PHO,88,1.91
122,Mark Fayne,NJ,88,1.07
123,Zdeno Chara,BOS,87,1.1
124,Kris Letang,PIT,86,1.69
125,Boyd Gordon,PHO,86,1.15
126,Shane O'Brien,COL,86,1.13
127,Ryan Whitney,EDM,85,1.67
128,Justin Faulk,CAR,85,1.29
129,Brandon Sutter,CAR,85,1.04
130,Tobias Enstrom,WPG,84,1.35
131,Joe Pavelski,SJ,84,1.02
132,Brian Boyle,NYR,83,1.01
133,Christian Ehrhoff,BUF,82,1.24
