Rank,Player,Team,Blocks,PerGame
259,Andrew Cogliano,EDM,46,0.56
260,Nick Leddy,CHI,46,1
261,Anze Kopitar,LA,45,0.6
262,Andrew Ladd,ATL,45,0.56
263,Jared Spurgeon,MIN,45,0.85
264,Eric Belanger,PHO,45,0.55
265,Artem Anisimov,NYR,45,0.55
266,Tomas Plekanec,MON,45,0.58
267,Steve Ott,DAL,44,0.54
268,Claude Giroux,PHI,44,0.54
269,Rich Peverley,BOS,44,0.54
270,Paul Gaustad,BUF,44,0.54
271,Stephen Weiss,FLA,44,0.58
272,Adam Pardy,CGY,44,1.47
273,Brenden Morrow,DAL,43,0.52
274,Jake Dowell,CHI,43,0.54
275,Travis Moen,MON,42,0.53
276,Dominic Moore,TB,42,0.55
277,Jamie Benn,DAL,41,0.59
278,Corey Perry,ANH,41,0.5
279,Nick Foligno,OTT,41,0.5
280,Milan Michalek,OTT,41,0.62
281,Tom Kostopoulos,CGY,41,0.54
282,Josh Bailey,NYI,41,0.59
283,Jeff Carter,PHI,41,0.51
284,Jarret Stoll,LA,41,0.5
285,David Backes,STL,40,0.49
286,T.J. Oshie,STL,40,0.82
287,Ville Leino,PHI,40,0.49
288,Max Talbot,PIT,40,0.49
289,David Krejci,BOS,40,0.53
290,Nik Antropov,ATL,39,0.51
291,Mark Fayne,NJ,39,0.68
292,Matt Cooke,PIT,39,0.58
293,Justin Abdelkader,DET,39,0.53
294,Scott Hartnell,PHI,38,0.46
295,David Jones,COL,38,0.49
296,Tuomo Ruutu,CAR,38,0.46
297,Jussi Jokinen,CAR,38,0.54
298,Matt Hendricks,WAS,38,0.49
299,Alex Tanguay,CGY,38,0.48
300,Derek Dorsett,CLS,37,0.49
301,Jonathan Ericsson,DET,37,0.5
302,Michael Frolik,CHI,37,0.46
303,Steven Stamkos,TB,37,0.45
304,Taylor Hall,EDM,37,0.57
305,Sheldon Brookbank,ANH,37,0.93
306,Ian Cole,STL,37,1.42
307,Sean Bergenheim,TB,37,0.46
308,Vladimir Sobotka,STL,37,0.57
309,Anssi Salmela,NJ,36,0.75
310,Chris Higgins,VAN,36,0.58
311,Joe Callahan,FLA,36,1.33
312,Matt Cullen,MIN,36,0.46
313,Troy Brouwer,CHI,36,0.46
314,Jonathon Blum,NSH,36,1.57
315,Jakub Kindl,DET,36,0.75
316,Matt D'Agostini,STL,36,0.44
317,Rod Pelley,NJ,36,0.49
318,Brandon Prust,NYR,36,0.44
319,Patric Hornqvist,NSH,36,0.46
320,Craig Rivet,CLS,36,0.97
321,Toby Petersen,DAL,36,0.6
322,Joe Thornton,SJ,35,0.44
323,Saku Koivu,ANH,35,0.47
324,Anthony Stewart,ATL,35,0.44
325,Ryan Shannon,OTT,35,0.44
326,Martin Hanzal,PHO,35,0.57
327,Dave Bolland,CHI,35,0.57
328,Steve Bernier,FLA,35,0.51
329,Olli Jokinen,CGY,35,0.44
330,Sergei Samsonov,FLA,34,0.44
331,Erik Cole,CAR,34,0.41
332,Ryan Johnson,CHI,34,1
333,Tom Pyatt,MON,34,0.56
334,Jassen Cullimore,CHI,34,0.94
335,Bobby Ryan,ANH,34,0.41
336,Radek Dvorak,ATL,33,0.5
337,Mike Ribeiro,DAL,33,0.4
338,Fredrik Sjostrom,TOR,33,0.5
339,Mike Mottau,NYI,33,1.65
340,Freddy Meyer,ATL,33,2.2
341,Yannick Weber,MON,33,0.8
342,Nick Spaling,NSH,33,0.45
343,Patrick Kaleta,BUF,33,0.65
344,Patrik Berglund,STL,33,0.41
345,Brad Boyes,BUF,33,0.4
346,Dana Tyrell,TB,33,0.42
347,Blake Comeau,NYI,32,0.42
348,Tyler Sloan,WAS,32,0.97
349,Cal Clutterbuck,MIN,32,0.42
350,David Moss,CGY,32,0.55
351,Evander Kane,ATL,32,0.44
352,Dainius Zubrus,NJ,32,0.41
353,Jonas Holos,COL,32,0.82
354,Chris Tanev,VAN,32,1.1
355,Brett Lebda,TOR,31,0.76
356,Patrick Marleau,SJ,31,0.38
357,Bryan Little,ATL,31,0.41
358,Andrew Brunette,MIN,31,0.38
359,Eric Nystrom,MIN,31,0.38
360,Brandon Dubinsky,NYR,31,0.4
361,Eric Staal,CAR,31,0.38
362,Travis Zajac,NJ,31,0.38
363,Paul Stastny,COL,31,0.42
364,Oliver Ekman-Larsson,PHO,31,0.65
365,Ryan O'Reilly,COL,31,0.42
366,Milan Hejduk,COL,31,0.44
367,Brian Gionta,MON,31,0.38
368,Mike Knuble,WAS,31,0.39
369,Darren Helm,DET,30,0.37
370,Brad Marchand,BOS,30,0.39
371,Cory Stillman,CAR,30,0.46
372,Mathieu Darche,MON,30,0.51
373,Tyson Strachan,STL,30,1.03
374,Dustin Penner,LA,30,0.37
375,Sam Gagner,EDM,29,0.43
376,Tanner Glass,VAN,29,0.4
377,Kevin Porter,COL,29,0.39
378,Ty Wishart,NYI,29,1.45
379,Dany Heatley,SJ,29,0.36
380,Joffrey Lupul,TOR,29,0.54
381,Jarkko Ruutu,ANH,29,0.4
382,Johan Franzen,DET,29,0.38
383,Jordan Hendry,CHI,29,0.78
384,Mikko Koivu,MIN,29,0.41
385,Justin Williams,LA,29,0.4
386,Dustin Brown,LA,29,0.35
387,Grant Clitsome,CLS,29,0.94
388,Alexei Ponikarovsky,LA,28,0.46
389,Ben Eager,SJ,28,0.41
390,Shane Doan,PHO,28,0.39
391,Philippe Dupuis,COL,28,0.38
392,Jeff Skinner,CAR,28,0.34
393,Derek Joslin,CAR,28,0.82
394,Colby Armstrong,TOR,28,0.56
395,Jarome Iginla,CGY,28,0.34
396,Alex Steen,STL,28,0.39
397,Sami Salo,VAN,28,1.04
398,P.A. Parenteau,NYI,28,0.35
399,Jonathan Toews,CHI,28,0.35
400,Tom Poti,WAS,27,1.29
401,Mike Brown,TOR,27,0.54
402,Andy McDonald,STL,27,0.47
403,Zack Smith,OTT,27,0.49
404,Kyle Cumiskey,COL,27,1.5
405,Patrick Eaves,DET,27,0.43
406,Jesse Winchester,OTT,27,0.38
407,Torrey Mitchell,SJ,27,0.41
408,Jason Blake,ANH,27,0.36
409,Tyler Ennis,BUF,27,0.33
410,Rene Bourque,CGY,26,0.33
411,Michael Grabner,NYI,26,0.34
412,Derek Stepan,NYR,26,0.32
413,Kyle Quincey,COL,26,1.24
414,Patrick Sharp,CHI,26,0.35
415,Scottie Upshall,CLS,26,0.32
416,Jannik Hansen,VAN,26,0.32
417,Derek MacKenzie,CLS,26,0.41
418,Jochen Hecht,BUF,26,0.39
419,Andrei Kostitsyn,MON,26,0.32
420,George Parros,ANH,26,0.33
421,James Neal,PIT,26,0.33
422,Mark Recchi,BOS,25,0.31
423,Trevor Lewis,LA,25,0.35
424,Viktor Stalberg,CHI,25,0.32
425,Devin Setoguchi,SJ,25,0.35
426,Mike Commodore,CLS,25,1.25
427,Patrik Elias,NJ,25,0.31
428,David Booth,FLA,25,0.3
429,Mikhail Grabovski,TOR,25,0.31
430,Magnus Paajarvi,EDM,25,0.31
431,Valtteri Filppula,DET,25,0.35
432,Jamie Langenbrunner,DAL,25,0.36
433,James van Riemsdyk,PHI,25,0.33
434,Danny Cleary,DET,25,0.37
435,Vincent Lecavalier,TB,25,0.38
436,Andreas Nodl,PHI,25,0.37
437,Matt Stajan,CGY,24,0.32
438,Alexandre Burrows,VAN,24,0.33
439,Tomas Kopecky,CHI,24,0.3
440,Liam Reddox,EDM,24,0.55
441,Jason Spezza,OTT,24,0.39
442,Sean Avery,NYR,24,0.32
443,Scott Nichol,SJ,24,0.43
444,Colin Wilson,NSH,24,0.29
445,Scott Gomez,MON,24,0.3
446,Brandon McMillan,ANH,24,0.4
447,Martin Havlat,MIN,24,0.31
448,Marian Hossa,CHI,23,0.35
449,Wayne Simmonds,LA,23,0.29
450,Alex Ovechkin,WAS,23,0.29
451,Chad LaRose,CAR,23,0.28
452,Nathan Gerbe,BUF,23,0.36
453,John Tavares,NYI,23,0.29
454,Sidney Crosby,PIT,23,0.56
455,Maxim Lapierre,VAN,23,0.29
456,Tyler Kennedy,PIT,23,0.29
457,Ethan Moreau,CLS,23,0.62
458,Marco Scandella,MIN,22,1.1
459,Milan Lucic,BOS,22,0.28
460,Jakub Voracek,CLS,22,0.28
461,Ryane Clowe,SJ,22,0.29
462,Lars Eller,MON,22,0.29
463,Radim Vrbata,PHO,22,0.28
464,Alex Burmistrov,ATL,22,0.3
465,Matt Taormina,NJ,22,1.29
466,Marian Gaborik,NYR,22,0.35
467,Mike Santorelli,FLA,22,0.27
468,Brad Richards,DAL,22,0.31
469,Ryan Carter,FLA,22,0.35
470,Fredrik Modin,CGY,22,0.55
471,David Hale,OTT,22,0.88
472,Marcus Johansson,WAS,22,0.32
473,Phil Kessel,TOR,22,0.27
474,Dylan Reese,NYI,22,0.81
475,Mikael Samuelsson,VAN,21,0.28
476,Todd Bertuzzi,DET,21,0.26
477,Daniel Alfredsson,OTT,21,0.39
478,Brandon Yip,COL,21,0.3
479,Mark Katic,NYI,21,1.91
480,Tyler Seguin,BOS,21,0.28
481,Jeff Tambellini,VAN,21,0.34
482,Lee Stempniak,PHO,21,0.26
483,Rob Niedermayer,BUF,21,0.3
484,Martin Erat,NSH,21,0.33
485,Justin Braun,SJ,21,0.75
486,Fernando Pisani,CHI,21,0.35
487,Henrik Sedin,VAN,21,0.26
488,Steve Downie,TB,21,0.37
489,Rob Schremp,ATL,21,0.33
490,Chris Neil,OTT,21,0.26
491,Tim Jackman,CGY,21,0.26
492,Erik Condra,OTT,21,0.81
493,Dan Sexton,ANH,20,0.43
494,Benoit Pouliot,MON,20,0.25
495,Peter Regin,OTT,20,0.36
496,Shawn Horcoff,EDM,20,0.43
497,Teemu Selanne,ANH,20,0.27
498,Jack Skille,FLA,20,0.32
499,Clarke MacArthur,TOR,20,0.24
500,Cody McLeod,COL,20,0.28
501,Matt Beleskey,ANH,20,0.57
502,Joey Crabb,TOR,20,0.42
503,David Legwand,NSH,20,0.31
504,Pavel Datsyuk,DET,20,0.36
505,Brian Rolston,NJ,20,0.31
506,Shawn Matthias,FLA,20,0.39
507,Eric Boulton,ATL,20,0.29
508,Chris Conner,PIT,20,0.33
509,Simon Gagne,TB,20,0.32
510,Chuck Kobasew,MIN,20,0.32
511,Eric Fehr,WAS,20,0.38
512,Henrik Zetterberg,DET,19,0.24
513,Tim Stapleton,ATL,19,0.42
514,Rick Nash,CLS,19,0.25
515,Darryl Boyce,TOR,19,0.41
516,Ryan Malone,TB,19,0.35
517,Rostislav Olesz,FLA,19,0.43
518,Mark Fraser,NJ,19,0.73
519,Mikael Backlund,CGY,19,0.26
520,Linus Omark,EDM,19,0.37
521,Raffi Torres,VAN,19,0.24
522,David Desharnais,MON,19,0.44
523,David Clarkson,NJ,19,0.23
524,Michael Cammalleri,MON,19,0.28
525,Michael Ryder,BOS,19,0.24
526,Jiri Tlusty,CAR,19,0.33
527,Jamal Mayers,SJ,19,0.24
528,T.J. Galiardi,COL,19,0.54
529,Mats Zuccarello,NYR,19,0.45
530,Brad Staubitz,MIN,18,0.25
531,Jared Boll,CLS,18,0.25
532,Shawn Thornton,BOS,18,0.23
533,Chris Stewart,STL,18,0.29
534,Matt Smaby,TB,18,0.56
535,Brendan Morrison,CGY,18,0.27
536,Brad Winchester,ANH,18,0.24
537,Ryan Smyth,LA,18,0.22
538,Marc-Andre Bergeron,TB,18,0.78
539,Ales Hemsky,EDM,18,0.38
540,Brendan Mikkelson,CGY,18,0.75
541,Michael Rupp,PIT,17,0.21
542,Taylor Chorney,EDM,17,1.42
543,John Mitchell,TOR,17,0.74
544,Jean-Francois Jacques,EDM,17,0.33
545,Jamie McGinn,SJ,17,0.35
546,Daniel Paille,BOS,17,0.4
547,Kyle Clifford,LA,17,0.22
548,Justin Falk,MIN,17,0.77
549,Jordin Tootoo,NSH,17,0.31
550,Danny Briere,PHI,17,0.22
551,Jordan Eberle,EDM,17,0.25
552,Patrick Kane,CHI,17,0.23
553,Kyle Okposo,NYI,16,0.42
554,Jim Slater,ATL,16,0.44
555,Gilbert Brule,EDM,16,0.39
556,Adam Mair,NJ,16,0.25
557,Teddy Purcell,TB,16,0.2
558,Derek Roy,BUF,16,0.46
559,Arron Asham,PIT,16,0.36
560,Jason Chimera,WAS,16,0.2
561,Bobby Butler,OTT,15,0.42
562,Matt Bradley,WAS,15,0.25
563,Ray Whitney,PHO,15,0.2
564,Jody Shelley,PHI,15,0.26
565,Matthew Corrente,NJ,15,0.68
566,Sergei Kostitsyn,NSH,15,0.19
567,Patrice Cormier,ATL,15,0.71
568,B.J. Crombeen,STL,15,0.19
569,Alexander Frolov,NYR,15,0.35
570,Mark Letestu,PIT,15,0.23
571,Vinny Prospal,NYR,15,0.52
572,Kyle Turris,PHO,15,0.23
573,Olivier Magnan,NJ,15,0.83
574,Derick Brassard,CLS,14,0.19
575,Dan Carcillo,PHI,14,0.25
576,Chris Kunitz,PIT,14,0.21
577,Matt Lashoff,TOR,14,1.27
578,Tomas Fleischmann,COL,14,0.31
579,Steven Reinprecht,FLA,14,0.48
580,Nathan Horton,BOS,14,0.18
581,Antti Miettinen,MIN,14,0.19
582,Andrew Murray,CLS,14,0.48
583,Alexandre Bolduc,VAN,14,0.58
584,Mason Raymond,VAN,14,0.2
585,Tim Sestito,NJ,14,0.39
586,Marcel Goc,NSH,13,0.25
587,Troy Bodie,CAR,13,0.22
588,Max Pacioretty,MON,13,0.35
589,Jesse Joensuu,NYI,13,0.31
590,Cal O'Reilly,NSH,13,0.34
591,Oskars Bartulis,PHI,13,1
592,Niclas Bergfors,FLA,13,0.18
593,Bryan Bickell,CHI,13,0.17
594,Jordan Staal,PIT,13,0.31
595,Andrew Ebbett,PHO,12,0.36
596,Chris VandeVelde,EDM,12,1
597,Niklas Hagman,CGY,12,0.17
598,Wojtek Wolski,NYR,12,0.16
599,Daniel Sedin,VAN,12,0.15
600,Thomas Vanek,BUF,12,0.15
601,Ilya Kovalchuk,NJ,12,0.15
602,Jon Sim,NYI,12,0.35
603,Chris Drury,NYR,12,0.5
604,Andre Benoit,OTT,12,1.5
605,Brett Carson,CGY,11,0.58
606,Kris Draper,DET,11,0.23
607,Derek Smith,OTT,11,1.22
608,Evgeni Malkin,PIT,11,0.26
609,Nolan Yonkman,PHO,11,0.69
610,Brad Richardson,LA,11,0.16
611,Jason Arnott,WAS,11,0.15
612,Evgeny Dadonov,FLA,11,0.31
613,Scott Timmins,FLA,11,0.58
614,Jiri Hudler,DET,11,0.15
615,Tomas Vincour,DAL,11,0.46
616,Clay Wilson,FLA,11,0.73
617,Tomas Holmstrom,DET,11,0.15
618,Greg Mauldin,COL,11,0.38
619,Erik Christensen,NYR,11,0.17
620,Jordan Caron,BOS,11,0.48
621,Mike Modano,DET,10,0.25
622,Nick Bonino,ANH,10,0.38
623,Dustin Jeffrey,PIT,10,0.4
624,Marek Svatos,OTT,10,0.36
625,Bill Thomas,FLA,10,0.42
626,Pierre-Marc Bouchard,MIN,10,0.17
627,Steve Sullivan,NSH,10,0.23
628,Vladimir Zharkov,NJ,10,0.26
629,Kyle Chipchura,ANH,10,0.25
630,John Scott,CHI,10,0.25
631,Stefan Meyer,CGY,10,0.63
632,Craig Conroy,CGY,10,0.56
633,Jeremy Colliton,NYI,9,0.6
634,Drayson Bowman,CAR,9,0.39
635,John McCarthy,SJ,9,0.24
636,Ryan O'Marra,EDM,9,0.43
637,Matt Halischuk,NSH,9,0.33
638,Chris Clark,CLS,9,0.17
639,Ryan Reaves,STL,9,0.32
640,Colin Greening,OTT,9,0.38
641,Mathieu Perreault,WAS,9,0.26
642,Nick Holden,CLS,9,1.8
643,Brian Sutherby,DAL,9,0.18
644,Colton Orr,TOR,9,0.2
645,Andrew Hutchinson,PIT,8,1.6
646,Ryan White,MON,8,0.3
647,Mark Olver,COL,8,0.44
648,Mark Mancari,BUF,8,0.4
649,Alex Kovalev,PIT,8,0.11
650,Andrei Loktionov,LA,8,0.42
651,Nick Palmieri,NJ,8,0.19
652,Benn Ferriero,SJ,8,0.24
653,J.P. Dumont,NSH,8,0.11
654,Andrey Zubarev,ATL,8,2
655,Jay Beagle,WAS,8,0.26
656,Kyle Wilson,CLS,8,0.25
657,Matt Calvert,CLS,8,0.19
658,Jacob Josefson,NJ,8,0.29
659,Michal Repik,FLA,8,0.26
660,Zack Stortini,EDM,8,0.25
661,Brandon Segal,DAL,8,0.17
662,Danny Syvret,PHI,7,0.7
663,Victor Oreskovich,VAN,7,0.44
664,Cameron Gaunce,COL,7,0.64
665,Ryan Parent,VAN,7,1.75
666,Peter Schaefer,VAN,7,0.44
667,Warren Peters,MIN,7,0.64
668,Matt Ellis,BUF,7,0.5
669,Cam Janssen,STL,7,0.13
670,Kyle Wellwood,SJ,7,0.2
671,Mattias Ritola,TB,7,0.23
672,Doug Janik,DET,7,1
673,Adam Cracknell,STL,7,0.29
674,Nate Guenin,CLS,7,2.33
675,Marco Sturm,WAS,6,0.17
676,Trevor Gillies,NYI,6,0.15
677,Jay Leach,NJ,6,0.86
678,Brendon Nash,MON,6,3
679,Brad Lukowich,DAL,6,1.2
680,Dustin Boyd,MON,6,0.6
681,Lance Bouma,CGY,6,0.38
682,Nikolay Zherdev,PHI,6,0.11
683,Brian Fahey,WAS,6,0.86
