Rank,Player,Team,Blocks,PerGame
1,Dan Girardi,NYR,236,2.95
2,Greg Zanon,MIN,212,2.59
3,Mark Giordano,CGY,193,2.35
4,Roman Hamrlik,MON,192,2.43
5,Francois Beauchemin,ANH,182,2.25
6,Toni Lydman,ANH,178,2.28
7,Kimmo Timonen,PHI,175,2.13
8,Dennis Seidenberg,BOS,174,2.15
9,Ron Hainsey,ATL,173,2.11
10,Kevin Klein,NSH,173,2.14
11,Tom Gilbert,EDM,172,2.18
12,Luke Schenn,TOR,168,2.05
13,Niklas Hjalmarsson,CHI,166,2.08
14,Andrew MacDonald,NYI,160,2.67
15,John Carlson,WAS,160,1.95
16,Jan Hejda,CLS,158,2.05
17,Brett Clark,TB,157,1.91
18,Andy Greene,NJ,157,1.91
19,Matt Carle,PHI,157,1.91
20,Anton Babchuk,CGY,156,1.9
21,Brent Seabrook,CHI,154,1.88
22,John-Michael Liles,COL,153,2.01
23,Brent Sopel,MON,152,2.14
24,Chris Phillips,OTT,152,1.85
25,Hal Gill,MON,151,2.01
26,Johnny Oduya,ATL,149,1.82
27,Duncan Keith,CHI,149,1.82
28,Zbynek Michalek,PIT,149,2.04
29,Marc-Edouard Vlasic,SJ,147,1.84
30,Ian White,SJ,144,1.85
31,Robyn Regehr,CGY,142,1.8
32,Tim Gleason,CAR,141,1.72
33,Douglas Murray,SJ,140,1.92
34,Tomas Kaberle,BOS,139,1.7
35,Andrej Meszaros,PHI,139,1.72
36,Karlis Skrastins,DAL,139,1.88
37,Dan Boyle,SJ,139,1.83
38,Jeff Schultz,WAS,138,1.92
39,Steve Montador,BUF,138,1.89
40,Jack Hillen,NYI,137,2.14
41,Tobias Enstrom,ATL,137,1.9
42,Derek Morris,PHO,136,1.77
43,Mattias Ohlund,TB,136,1.89
44,Stephane Robidas,DAL,135,1.67
45,Jay Bouwmeester,CGY,134,1.63
46,Jack Johnson,LA,133,1.62
47,Braydon Coburn,PHI,133,1.62
48,Erik Johnson,COL,133,1.73
49,Mike Weaver,FLA,132,1.61
50,Nick Schultz,MIN,132,1.78
51,Karl Alzner,WAS,132,1.61
52,Rostislav Klesla,PHO,131,2.15
53,Ryan O'Byrne,COL,131,1.96
54,Adam McQuaid,BOS,131,1.96
55,Joni Pitkanen,CAR,130,1.81
56,Niklas Kronwall,DET,129,1.68
57,Paul Martin,PIT,129,1.68
58,Kris Russell,CLS,128,1.75
59,Radek Martinek,NYI,128,2
60,Jason Garrison,FLA,127,1.74
61,Dennis Wideman,WAS,126,1.68
62,Trevor Daley,DAL,124,1.51
63,Theo Peckham,EDM,123,1.73
64,Jordan Leopold,BUF,123,1.73
65,Rob Scuderi,LA,122,1.49
66,Scott Hannan,WAS,122,1.56
67,Alex Pietrangelo,STL,121,1.53
68,Dion Phaneuf,TOR,121,1.83
69,John Erskine,WAS,120,1.64
70,Eric Brewer,TB,120,1.58
71,Carl Gunnarsson,TOR,120,1.76
72,Joe Corvo,CAR,119,1.45
73,James Wisniewski,MON,119,1.59
74,Ladislav Smid,EDM,118,1.51
75,Travis Hamonic,NYI,118,1.9
76,Mike Komisarek,TOR,117,1.56
77,Jamie McBain,CAR,117,1.54
78,Lubomir Visnovsky,ANH,116,1.43
79,Johnny Boychuk,BOS,115,1.67
80,Pavel Kubina,TB,115,1.46
81,Brad Stuart,DET,114,1.7
82,Chris Pronger,PHI,114,2.28
83,Barret Jackman,STL,114,1.9
84,Shea Weber,NSH,113,1.38
85,Andreas Lilja,ANH,113,2.17
86,Keith Ballard,VAN,111,1.71
87,Zdeno Chara,BOS,111,1.37
88,Ryan Wilson,COL,110,1.64
89,Kris Letang,PIT,109,1.33
90,Marc Staal,NYR,109,1.42
91,Ruslan Salei,DET,109,1.45
92,Cory Sarich,CGY,109,1.43
93,Mike Green,WAS,109,2.22
94,Christian Ehrhoff,VAN,108,1.37
95,Mike Lundin,TB,108,1.57
96,Michal Rozsival,PHO,108,1.66
97,Brent Burns,MIN,106,1.33
98,Anton Volchenkov,NJ,106,1.86
99,P.K. Subban,MON,106,1.38
100,Alex Goligoski,DAL,106,1.28
101,Matt Greene,LA,105,1.48
102,Randy Jones,TB,104,1.7
103,Filip Kuba,OTT,104,1.63
104,Steve Eminger,NYR,103,1.58
105,Keith Yandle,PHO,103,1.26
106,Bryan Allen,CAR,103,1.43
107,Drew Doughty,LA,101,1.33
108,Brian Campbell,CHI,101,1.55
109,Colin White,NJ,100,1.45
110,Jay Harrison,CAR,100,1.39
111,Mike Weber,BUF,99,1.71
112,Marc Methot,CLS,98,1.32
113,Tyler Myers,BUF,98,1.23
114,Jeff Woywitka,DAL,97,1.54
115,Mark Stuart,ATL,96,1.78
116,Kevin Shattenkirk,STL,96,1.33
117,Mike Sauer,NYR,96,1.26
118,Brooks Orpik,PIT,94,1.49
119,Sergei Gonchar,OTT,94,1.4
120,Kevin Bieksa,VAN,93,1.41
121,Fedor Tyutin,CLS,93,1.16
122,Cam Fowler,ANH,93,1.22
123,Milan Jurcina,NYI,93,2.02
124,Nicklas Lidstrom,DET,92,1.12
125,Zach Bogosian,ATL,91,1.28
126,Ed Jovanovski,PHO,91,1.82
127,Chris Campoli,CHI,91,1.18
128,Jaroslav Spacek,MON,90,1.53
129,Sami Lepisto,CLS,90,1.29
130,Mike Fisher,NSH,89,1.09
131,Dan Hamhuis,VAN,89,1.39
132,Andy Sutton,ANH,87,2.23
133,Nick Boynton,PHI,87,1.71
134,Brian Boyle,NYR,86,1.05
135,Alexander Edler,VAN,86,1.69
136,Shaone Morrisonn,BUF,86,1.39
137,Paul Mara,MON,85,1.6
138,Victor Hedman,TB,85,1.08
139,Willie Mitchell,LA,85,1.49
140,Luca Sbisa,ANH,85,1.25
141,Andrej Sekera,BUF,85,1.12
142,Niclas Wallin,SJ,84,1.14
143,Ryan Suter,NSH,84,1.2
144,Mark Eaton,NYI,82,2.41
145,Andrew Ference,BOS,82,1.17
146,Nate Thompson,TB,81,1.03
147,Clayton Stoner,MIN,81,1.42
148,Ryan Kesler,VAN,80,0.98
149,Shane O'Brien,NSH,80,1
150,Josh Gorges,MON,79,2.19
151,Bruno Gervais,NYI,79,1.49
152,Carlo Colaiacovo,STL,79,1.22
153,Dmitry Kulikov,FLA,79,1.1
154,Roman Polak,STL,78,1.42
155,Mark Fistric,DAL,78,1.37
156,Nicklas Grossman,DAL,78,1.32
157,Jim Vandermeer,EDM,78,1.26
158,Brian Lee,OTT,77,1.54
159,Ryan Callahan,NYR,77,1.28
160,Sean O'Donnell,PHI,76,0.94
161,Kurtis Foster,EDM,76,1.03
162,Adrian Aucoin,PHO,75,1
163,Keith Aulie,TOR,74,1.85
164,Erik Karlsson,OTT,74,0.99
165,Manny Malhotra,VAN,74,1.03
166,Henrik Tallinder,NJ,74,0.9
167,Mike Richards,PHI,73,0.9
168,Brandon Sutter,CAR,73,0.89
169,Alec Martinez,LA,73,1.22
170,Blair Betts,PHI,72,0.96
171,Bryan McCabe,NYR,72,1.07
172,Dustin Byfuglien,ATL,72,0.89
173,Jason Demers,SJ,72,0.96
174,Michael Del Zotto,NYR,72,1.53
175,Matt Hunwick,COL,71,0.97
176,Chris Thorburn,ATL,71,0.87
177,R.J. Umberger,CLS,70,0.85
178,Adam Burish,DAL,70,1.11
179,Ryan McDonagh,NYR,69,1.73
180,Keaton Ellerby,FLA,68,1.26
181,Adam Foote,COL,67,1.43
182,Joe Pavelski,SJ,67,0.91
183,Ryan Whitney,EDM,67,1.91
184,Logan Couture,SJ,66,0.84
185,Matt Niskanen,PIT,66,1.05
186,Jerred Smithson,NSH,64,0.78
187,Craig Adams,PIT,64,0.8
188,Nicklas Backstrom,WAS,64,0.83
189,Martin St. Louis,TB,64,0.78
190,Frans Nielsen,NYI,63,0.89
191,Jay McClement,COL,63,0.79
192,Marek Zidlicky,MIN,63,1.37
193,Jason Strudwick,EDM,63,1.47
194,Pat Dwyer,CAR,63,0.79
195,Matt Gilroy,NYR,62,1.07
196,Todd Marchant,ANH,62,0.78
197,Cam Barker,MIN,61,1.17
198,Davis Drewiske,LA,61,1.61
199,Vernon Fiddler,PHO,60,0.85
200,Cody McCormick,BUF,60,0.74
201,Darroll Powe,PHI,60,0.74
202,Ben Lovejoy,PIT,60,1.28
203,John Madden,MIN,59,0.78
204,Alexandre Picard,MON,59,1.37
205,Adam Hall,TB,59,0.72
206,Aaron Rome,VAN,59,1.05
207,Matt Carkner,OTT,59,1.18
208,Tim Brent,TOR,58,0.73
209,Drew Miller,DET,58,0.87
210,Kent Huskins,SJ,58,1.16
211,Ryan Getzlaf,ANH,57,0.85
212,Kris Versteeg,PHI,57,0.71
213,Joel Ward,NSH,57,0.71
214,Marty Reasoner,FLA,57,0.7
215,Ryan Jones,EDM,57,0.7
216,David Schlemko,PHO,57,1.33
217,Chris Butler,BUF,56,1.14
218,Steve Kampfer,BOS,56,1.47
219,Patrice Bergeron,BOS,56,0.7
220,Pascal Dupuis,PIT,55,0.68
221,Kyle Brodziak,MIN,55,0.69
222,Deryk Engelland,PIT,54,0.86
223,Brooks Laich,WAS,54,0.66
224,Colin Fraser,EDM,54,0.81
225,Brian Rafalski,DET,54,0.86
226,Curtis Glencross,CGY,54,0.68
227,Chris Kelly,BOS,54,0.67
228,Jeff Halpern,MON,53,0.74
229,Tim Connolly,BUF,53,0.78
230,Nikita Nikitin,STL,52,1.27
231,Daniel Winnik,COL,52,0.65
232,Cody Franson,NSH,52,0.65
233,Alexander Sulzer,FLA,52,1.3
234,Zenon Konopka,NYI,52,0.63
235,Gregory Campbell,BOS,52,0.65
236,Francis Bouillon,NSH,51,1.16
237,Ruslan Fedotenko,NYR,50,0.76
238,Boyd Gordon,WAS,50,0.83
239,Jason Pominville,BUF,50,0.68
240,Lauri Korpikoski,PHO,50,0.63
241,Dave Steckel,NJ,50,0.67
242,Jeff Petry,EDM,49,1.4
243,Andrew Alberts,VAN,49,1.17
244,Matt Martin,NYI,49,0.72
245,Tom Wandell,DAL,49,0.65
246,Samuel Pahlsson,CLS,49,0.6
247,Steve Staios,CGY,48,1.23
248,Taylor Pyatt,PHO,48,0.63
249,Matt Duchene,COL,48,0.6
250,Mike Grier,BUF,48,0.66
251,Nikolai Kulemin,TOR,48,0.59
252,Michal Handzus,LA,48,0.59
253,Matt Moulson,NYI,48,0.59
254,Tyler Bozak,TOR,48,0.59
255,Antoine Vermette,CLS,47,0.57
256,Blake Wheeler,ATL,47,0.58
257,Loui Eriksson,DAL,46,0.58
258,Anton Stralman,CLS,46,0.9
