Rank,Player,Team,Blocks,PerGame
1,Francois Beauchemin,COL,256,3.12
2,Kris Russell,DAL,210,3.39
3,Karl Alzner,WAS,207,2.52
4,Calvin de Haan,NYI,198,2.75
5,Erik Johnson,COL,197,2.7
6,Dan Girardi,NYR,195,2.64
7,Mark Giordano,CGY,193,2.35
8,Roman Josi,NSH,185,2.28
9,Alec Martinez,LA,182,2.33
10,Jacob Trouba,WPG,177,2.19
11,Erik Karlsson,OTT,175,2.13
12,Nick Schultz,PHI,174,2.15
13,Johnny Oduya,DAL,172,2.1
14,Ryan Murray,CLS,171,2.09
15,Josh Gorges,BUF,167,2.17
16,Christopher Tanev,VAN,166,2.41
17,Shea Weber,NSH,160,2.05
18,Alex Goligoski,ARI,159,1.94
19,Jared Spurgeon,MIN,157,2.04
20,Radko Gudas,PHI,157,2.07
21,Andrej Sekera,EDM,156,1.93
22,Kevin Klein,NYR,155,2.25
23,Trevor van Riemsdyk,CHI,155,1.89
24,Andy Greene,NJ,154,1.88
25,Niklas Hjalmarsson,CHI,151,1.86
26,Brent Seabrook,CHI,150,1.85
27,Adam Larsson,NJ,148,1.8
28,Roman Polak,SJ,146,1.85
29,Brent Burns,SJ,145,1.77
30,Matt Niskanen,WAS,145,1.77
31,Michael Stone,ARI,143,1.91
32,Ryan Suter,MIN,142,1.73
33,Andrei Markov,MON,142,1.73
34,Johnny Boychuk,NYI,140,2
35,Justin Braun,SJ,140,1.75
36,Connor Murphy,ARI,139,1.78
37,Ryan McDonagh,NYR,138,1.89
38,Rasmus Ristolainen,BUF,137,1.67
39,Alex Pietrangelo,STL,136,1.86
40,Jake Muzzin,LA,135,1.65
41,Victor Hedman,TB,132,1.69
42,Cody Ceci,OTT,130,1.73
43,Marc-Edouard Vlasic,SJ,129,1.93
44,Travis Hamonic,NYI,128,1.78
45,John-Michael Liles,BOS,127,1.57
46,Ron Hainsey,CAR,126,1.56
47,Zbynek Michalek,ARI,125,1.79
48,Paul Martin,SJ,123,1.58
49,Kevan Miller,BOS,123,1.73
50,Zdeno Chara,BOS,123,1.54
51,Kris Letang,PIT,122,1.72
52,Ian Cole,PIT,122,1.74
53,Morgan Rielly,TOR,122,1.49
54,Colton Parayko,STL,122,1.54
55,Adam McQuaid,BOS,121,1.89
56,Dmitry Kulikov,FLA,121,1.64
57,Dennis Seidenberg,BOS,120,1.97
58,Marc Staal,NYR,120,1.56
59,Mark Stuart,WPG,120,1.88
60,Carl Gunnarsson,STL,119,1.65
61,Jaccob Slavin,CAR,119,1.89
62,Nick Holden,COL,118,1.44
63,Seth Jones,CLS,118,1.46
64,Duncan Keith,CHI,116,1.73
65,Hampus Lindholm,ANH,115,1.44
66,John Carlson,WAS,114,2.04
67,Alexei Emelin,MON,113,1.57
68,Kevin Shattenkirk,STL,113,1.57
69,Cam Fowler,ANH,112,1.62
70,David Savard,CLS,111,1.71
71,Nate Schmidt,WAS,111,1.54
72,Jay Bouwmeester,STL,110,1.53
73,Jonas Brodin,MIN,110,1.62
74,Jake McCabe,BUF,109,1.42
75,Kevin Bieksa,ANH,108,1.52
76,Deryk Engelland,CGY,107,1.55
77,Danny DeKeyser,DET,107,1.37
78,Dougie Hamilton,CGY,106,1.29
79,Alexander Edler,VAN,106,2.04
80,Mattias Ekholm,NSH,106,1.29
81,Luke Schenn,LA,106,1.47
82,Dustin Byfuglien,WPG,105,1.3
83,Dan Boyle,NYR,105,1.42
84,Sami Vatanen,ANH,105,1.48
85,Marco Scandella,MIN,105,1.44
86,Ben Chiarot,WPG,105,1.5
87,Drew Doughty,LA,105,1.28
88,Jason Garrison,TB,105,1.46
89,T.J. Brodie,CGY,104,1.49
90,Michael Del Zotto,PHI,104,2
91,Ben Lovejoy,PIT,104,1.58
92,Darnell Nurse,EDM,103,1.49
93,Brooks Orpik,WAS,102,2.49
94,Jack Johnson,CLS,102,1.7
95,Alexey Marchenko,DET,100,1.52
96,Ryan Ellis,NSH,100,1.27
