Rank,Player,Team,Blocks,PerGame
1,Dan Girardi,NYR,125,2.72
2,Greg Zanon,COL,124,2.82
3,John Carlson,WAS,123,2.56
4,Andrew MacDonald,NYI,123,2.56
5,Ron Hainsey,WPG,123,2.62
6,Ladislav Smid,EDM,119,2.48
7,Josh Gorges,MON,116,2.42
8,Dennis Seidenberg,BOS,115,2.5
9,Brooks Orpik,PIT,114,2.48
10,Francois Beauchemin,ANH,111,2.31
11,Jay Harrison,CAR,110,2.34
12,Travis Hamonic,NYI,109,2.27
13,Nick Schultz,EDM,107,2.23
14,Brent Seabrook,CHI,103,2.19
15,Mark Fraser,TOR,102,2.27
16,Jan Hejda,COL,102,2.22
17,Luke Schenn,PHI,102,2.17
18,Alex Pietrangelo,STL,101,2.15
19,Dennis Wideman,CGY,100,2.17
20,Douglas Murray,PIT,98,2.28
21,Eric Brewer,TB,94,1.96
22,Niklas Hjalmarsson,CHI,94,2.04
23,Stephane Robidas,DAL,93,1.94
24,Mark Giordano,CGY,93,1.98
25,Mike Weber,BUF,92,2.19
26,Dion Phaneuf,TOR,91,1.9
27,Jack Johnson,CLS,90,2.05
28,Shea Weber,NSH,90,1.88
29,Barret Jackman,STL,89,1.93
30,Kevin Klein,NSH,89,1.89
31,Brad Stuart,SJ,89,1.85
32,Johnny Boychuk,BOS,87,1.98
33,Matt Carle,TB,87,1.81
34,Zbynek Michalek,PHO,87,2.56
35,Mark Streit,PHI,86,1.79
36,Jeff Petry,EDM,86,1.79
37,Karl Alzner,WAS,85,1.77
38,Victor Hedman,TB,84,1.91
39,Niklas Kronwall,DET,83,1.73
40,Nicklas Grossmann,PHI,82,2.73
41,Dan Boyle,SJ,81,1.76
42,Mark Stuart,WPG,81,1.93
43,Christian Ehrhoff,BUF,81,1.72
44,Alexander Edler,VAN,81,1.8
45,Marc Methot,OTT,81,1.72
46,Marc-Edouard Vlasic,SJ,81,1.69
47,Bryce Salvador,NJ,79,2.03
48,Kimmo Timonen,PHI,79,1.76
49,Johnny Oduya,CHI,79,1.65
50,Roman Polak,STL,78,1.63
51,Chris Phillips,OTT,78,1.63
52,Ryan McDonagh,NYR,78,1.66
53,Toni Lydman,ANH,76,2.17
54,Ryan Suter,MIN,74,1.54
55,Brenden Dillon,DAL,74,1.54
56,Chris Butler,CGY,74,1.68
57,T.J. Brodie,CGY,74,1.57
58,Roman Josi,NSH,73,1.52
59,Andrej Sekera,CAR,73,1.97
60,Carl Gunnarsson,TOR,71,1.92
61,Andy Greene,NJ,70,1.46
62,Trevor Daley,DAL,69,1.57
63,Derek Morris,PHO,69,1.77
64,Filip Kuba,FLA,69,1.57
65,Robyn Regehr,LA,69,1.68
66,Ryan O'Byrne,TOR,69,1.64
67,Alex Goligoski,DAL,66,1.4
68,Bryan Allen,ANH,66,1.61
69,Duncan Keith,CHI,66,1.4
70,Ryan Callahan,NYR,66,1.47
71,Rob Scuderi,PIT,66,1.38
72,Mike Kostka,TOR,66,1.89
73,Sami Salo,TB,65,1.41
74,Brian Campbell,FLA,65,1.35
75,Sergei Gonchar,DAL,65,1.44
76,Matt Irwin,SJ,65,1.71
77,Michael Stone,PHO,64,1.6
78,Michael Del Zotto,NYR,64,1.39
79,Tim Gleason,CAR,64,1.52
80,Zdeno Chara,BOS,64,1.33
81,Jamie McBain,BUF,63,1.58
82,Dan Hamhuis,VAN,63,1.34
83,Tyson Strachan,FLA,62,1.63
84,John Erskine,WAS,62,2.07
85,Mike Green,WAS,61,1.74
86,Braydon Coburn,PHI,61,1.85
87,Jay Bouwmeester,STL,61,1.3
88,Chris Tanev,VAN,61,1.61
89,Jonas Brodin,MIN,60,1.33
90,Andrei Markov,MON,60,1.25
91,Andrew Ference,EDM,60,1.25
92,Rostislav Klesla,PHO,60,1.58
93,Kris Letang,PIT,59,1.69
94,Cody Franson,TOR,59,1.31
95,Kevin Shattenkirk,STL,59,1.23
96,Matt Hunwick,COL,59,1.37
97,Jason Garrison,VAN,58,1.23
98,Erik Johnson,COL,58,1.87
99,Sheldon Souray,ANH,58,1.32
100,Fedor Tyutin,CLS,58,1.21
101,David Schlemko,PHO,57,1.9
102,Luca Sbisa,ANH,57,1.39
