Rank,Player,Team,Blocks,PerGame
1,Kris Russell,CGY,283,3.58
2,Roman Josi,NSH,209,2.58
3,John Carlson,WAS,200,2.44
4,Brooks Orpik,WAS,192,2.46
5,Michael Stone,ARI,189,2.33
6,Dan Girardi,NYR,184,2.24
7,Dennis Wideman,CGY,184,2.3
8,T.J. Brodie,CGY,178,2.2
9,Andrei Markov,MON,173,2.14
10,Andy Greene,NJ,172,2.1
11,Christopher Tanev,VAN,170,2.43
12,Mike Weber,BUF,168,2.63
13,Nick Schultz,PHI,166,2.08
14,Karl Alzner,WAS,165,2.01
15,Tom Gilbert,MON,164,2.28
16,Nate Guenin,COL,162,2.13
17,Alex Pietrangelo,STL,161,1.99
18,Zbynek Michalek,STL,160,2.35
19,Alex Goligoski,DAL,157,1.94
20,Johnny Boychuk,NYI,149,2.07
21,Josh Gorges,BUF,148,3.22
22,Shea Weber,NSH,147,1.88
23,Dennis Seidenberg,BOS,146,1.78
24,Drew Doughty,LA,144,1.76
25,Willie Mitchell,FLA,144,2.18
26,Connor Murphy,ARI,142,1.95
27,Mark Stuart,WPG,142,2.03
28,P.K. Subban,MON,142,1.73
29,Brent Seabrook,CHI,141,1.72
30,Deryk Engelland,CGY,141,1.86
31,Jan Hejda,COL,140,1.73
32,Brenden Dillon,SJ,139,1.74
33,Ryan McDonagh,NYR,139,1.96
34,Paul Martin,PIT,139,1.88
35,Thomas Hickey,NYI,136,1.68
36,Rasmus Ristolainen,BUF,136,1.74
37,Brad Stuart,COL,134,2.06
38,Cody Franson,NSH,132,1.69
39,Tyler Myers,WPG,132,1.86
40,Jack Johnson,CLS,131,1.66
41,Travis Hamonic,NYI,131,1.85
42,Justin Braun,SJ,130,1.86
43,Calvin de Haan,NYI,130,2
44,Matt Greene,LA,129,1.57
45,Luca Sbisa,VAN,128,1.68
46,Mark Giordano,CGY,128,2.1
47,Michael Del Zotto,PHI,128,2
48,Roman Polak,TOR,128,2.29
49,Jonas Brodin,MIN,128,1.8
50,Niklas Hjalmarsson,CHI,127,1.55
51,Ryan Suter,MIN,127,1.65
52,Alexander Edler,VAN,126,1.7
53,Dion Phaneuf,TOR,126,1.8
54,Barret Jackman,STL,126,1.58
55,Mark Fayne,EDM,125,1.69
56,Jared Spurgeon,MIN,124,1.88
57,Brent Burns,SJ,124,1.51
58,Sami Vatanen,ANH,123,1.84
59,Marc Staal,NYR,123,1.54
60,Johnny Oduya,CHI,123,1.62
61,Trevor Daley,DAL,123,1.81
62,Jordie Benn,DAL,121,1.66
63,Ron Hainsey,CAR,120,1.48
64,Adam Larsson,NJ,120,1.88
65,Jacob Trouba,WPG,120,1.85
66,Andrej Sekera,LA,118,1.62
67,Fedor Tyutin,CLS,117,1.75
68,Alec Martinez,LA,117,2.09
69,Kris Letang,PIT,117,1.7
70,Alexei Emelin,MON,116,1.71
71,Kevin Klein,NYR,115,1.77
72,Justin Faulk,CAR,114,1.39
73,Carl Gunnarsson,STL,114,1.87
74,Justin Schultz,EDM,114,1.41
75,Ryan Stanton,VAN,113,2.09
76,Cody Ceci,OTT,113,1.4
77,Duncan Keith,CHI,113,1.41
78,Marc-Edouard Vlasic,SJ,112,1.6
79,Rob Scuderi,PIT,110,1.34
80,Victor Hedman,TB,110,1.86
81,Jeff Petry,MON,109,1.4
82,Tim Gleason,WAS,108,1.5
83,Jake Muzzin,LA,108,1.42
84,Cam Fowler,ANH,107,1.34
85,Erik Johnson,COL,107,2.28
86,Francois Beauchemin,ANH,107,1.67
87,Niklas Kronwall,DET,106,1.33
88,Matt Niskanen,WAS,106,1.29
89,Tyson Strachan,BUF,105,2.28
90,Dmitry Kulikov,FLA,105,1.44
91,Ben Lovejoy,PIT,105,1.75
92,David Savard,CLS,105,1.28
93,Matthew Carle,TB,104,1.76
94,Mark Streit,PHI,103,1.27
95,Morgan Rielly,TOR,103,1.27
96,Nate Prosser,MIN,102,1.62
97,Mattias Ekholm,NSH,102,1.28
98,Oscar Klefbom,EDM,102,1.7
99,Mark Borowiecki,OTT,102,1.62
100,Keith Yandle,NYR,101,1.2
101,Simon Despres,ANH,101,1.35
102,Marco Scandella,MIN,100,1.56
103,Jay Bouwmeester,STL,99,1.38
104,Drew Miller,DET,99,1.21
105,Zdeno Chara,BOS,99,1.57
106,Ian Cole,PIT,99,1.34
107,Andre Benoit,BUF,98,1.66
108,Nick Holden,COL,96,1.23
109,Ryan Getzlaf,ANH,95,1.23
110,Andrej Meszaros,BUF,94,1.57
111,Jason Garrison,TB,94,1.34
112,Kevin Bieksa,VAN,93,1.55
113,Toby Enstrom,WPG,93,1.55
114,Mike Green,WAS,93,1.29
115,Marek Zidlicky,DET,92,1.1
116,Adam McQuaid,BOS,91,1.44
117,Nick Bonino,VAN,90,1.2
118,Nick Leddy,NYI,90,1.15
119,Seth Jones,NSH,90,1.1
120,Zach Bogosian,BUF,90,1.45
